roll,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,0.0,2.566901408450704,7.566901408450704,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,3530.2464788732395,50598,-0.4014084507042254,-2.0,2.0917467269440113,-2,4
3,0.13992537313432835,1.8544776119402986,4.850746268656716,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,3431.8022388059703,17130,1.4664179104477613,0.0,3.0982043404696187,-3,8
4,0.1845965770171149,1.441320293398533,3.4388753056234718,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,3554.271393643032,50604,1.8533007334963325,2.0,2.5913886411295444,-6,6
5,0.316776007497657,1.2221180880974696,2.9615745079662608,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,3860.8313027179006,50604,1.5257731958762886,1,2.290374924680142,-4,4
6,0.32891061452513964,1.2513966480446927,2.7472067039106145,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,3983.111033519553,50602,0.770949720670391,2.0,1.6185661771664288,-6,2
7,0.017522658610271902,1.5087613293051358,2.7353474320241693,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,4661.030211480363,50606,0.2821752265861027,1,1.116877278130433,-3,1
8,0.2478932584269663,1.4627808988764044,3.315308988764045,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,3936.5842696629215,50602,0.5,0.0,1.726971766643234,-6,2
9,0.31965065502183404,1.4820960698689956,4.126637554585153,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,3780.126637554585,50604,1.2096069868995634,1,2.56960690633762,-4,4
10,0.19656019656019655,1.7567567567567568,5.257985257985258,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,3716.2027027027025,50606,1.4127764127764129,2.0,2.9815560804543613,-6,6
11,0.08823529411764706,2.15625,6.450367647058823,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,3253.7849264705883,50603,0.8511029411764706,0.0,2.8423718917424217,-3,8
12,0.0,2.790035587188612,9.238434163701067,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,3542.6156583629895,50603,-0.6903914590747331,-2,1.9694669845811996,-4,4
