guess,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
3,0.0,3.0,10.142857142857142,"{'2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",4,153.42857142857142,157,-4,-4,4.618802153517006,-8,4
4,0.1184573002754821,2.4214876033057853,9.209366391184574,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,152.267217630854,169,-1.2644628099173554,0,5.495003147071006,-18,6
5,0.1326530612244898,1.9200680272108843,5.653061224489796,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,152.57908163265307,167,0.1598639455782313,0.0,2.8057608788228934,-10,4
6,0.1439672801635992,1.8437627811860942,5.175460122699387,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,152.56564417177916,171,0.15623721881390593,0,1.3329387107260409,-4,2
7,0.16408518877057116,1.86108422071636,5.383833494675702,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,152.47192642787996,169,0,0.0,0.0,0,0
8,0.14309076042518398,1.8405560098119378,5.2224039247751435,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,152.56214227309894,168,0.15944399018806213,0.0,1.3548091790305912,-4,2
9,0.13405797101449277,1.9067028985507246,5.645833333333333,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0}",2,152.48641304347825,170,0.18659420289855072,0.0,2.8369984001078987,-10,4
10,0.11842105263157894,2.526315789473684,10.394736842105264,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 1, '11': 0, '12': 0}",3,152.82894736842104,167,-1.5789473684210527,0.0,6.017264427009811,-18,6
11,0.07692307692307693,3.1538461538461537,16.384615384615383,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 1, '12': 0}",4,152.23076923076923,161,-4.615384615384615,-4,10.563604668376396,-24,8
